"name","category","license","license_url","icon_url","title","slug","description","downloads","rating","created_at","url","json_url","download_url","status_detail","downloads_shortened","games_detail","latest_release_version","latest_release_version_formatted","latest_release_at","latest_release_at_atom","author","author_icon_url","author_id","tags_all","created_at_atom","updated_at_atom","watchers","watchers_shortened","badges"
"PickupLines","1",,,"https://assets.umod.org/images/icons/plugin/5b66ef17b8b62.jpg","Pickup Lines","pickup-lines","Sends lovely pickup lines to yourself or other players","323","0.00","2018-08-05 12:35:35","https://umod.org/plugins/pickup-lines","https://umod.org/plugins/pickup-lines.json","https://umod.org/plugins/PickupLines.cs","@{value=1; message=; text=Published; icon=check; class=success}","323","System.Object[]","1.0.2","v1.0.2","2018-08-05 12:36:01","2018-08-05T12:36:01+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,chat,fun","2018-08-05T12:35:35Z","2019-02-12T13:35:56Z","2","2",""
"Ping","1",,,"https://assets.umod.org/images/icons/plugin/5b639767204a5.jpg","Ping","ping","Ping checking on command and automatic kicking of players with high pings","633","0.00","2018-08-02 23:44:39","https://umod.org/plugins/ping","https://umod.org/plugins/ping.json","https://umod.org/plugins/Ping.cs","@{value=1; message=; text=Published; icon=check; class=success}","633","System.Object[]","1.8.0","v1.8.0","2018-08-02 23:45:06","2018-08-02T23:45:06+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,administration,informational","2018-08-02T23:44:39Z","2019-02-12T14:20:34Z","23","23",""
"PlayerDatabase","1",,,"https://assets.umod.org/images/icons/plugin/5c6230655a00b.png","Player Database","player-database","Big database with light weight way to save it to prevent lag","379","0.00","2018-08-05 12:30:10","https://umod.org/plugins/player-database","https://umod.org/plugins/player-database.json","https://umod.org/plugins/PlayerDatabase.cs","@{value=1; message=; text=Published; icon=check; class=success}","379","System.Object[]","1.5.7","v1.5.7","2018-08-05 12:30:42","2018-08-05T12:30:42+00:00","Ryan","https://assets.umod.org/images/icons/user/5b5a14078d6b0.png","oXVgqegRaQ","universal,imported","2018-08-05T12:30:10Z","2019-02-12T14:39:02Z","19","19",""
"PlayerInformations","1",,,"https://assets.umod.org/images/icons/plugin/5c3223fcb867e.png","Player Informations","player-informations","Stores player IPs , usernames, positions, last seen, first connection ...","467","0.00","2018-08-05 12:25:55","https://umod.org/plugins/player-informations","https://umod.org/plugins/player-informations.json","https://umod.org/plugins/PlayerInformations.cs","@{value=1; message=; text=Published; icon=check; class=success}","467","System.Object[]","1.2.10","v1.2.10","2019-01-06 18:25:36","2019-01-06T18:25:36+00:00","austinv900","https://assets.umod.org/images/icons/user/5b5bc71c51a3f.png","b0EKY1KXv8","universal,imported","2018-08-05T12:25:55Z","2019-02-12T12:21:57Z","14","14",""
"PlayerList","1",,,"https://assets.umod.org/images/icons/plugin/5b639702f2ceb.jpg","Player List","player-list","Shows a list and count of all online, non-hidden players","1771","0.00","2018-08-02 23:42:58","https://umod.org/plugins/player-list","https://umod.org/plugins/player-list.json","https://umod.org/plugins/PlayerList.cs","@{value=1; message=; text=Published; icon=check; class=success}","1.8K","System.Object[]","0.3.2","v0.3.2","2018-08-02 23:43:32","2018-08-02T23:43:32+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,informational","2018-08-02T23:42:58Z","2019-02-12T18:57:01Z","50","50",""
"PlaytimeTracker","1",,,"https://assets.umod.org/images/icons/plugin/5b63bf2423579.jpg","Playtime Tracker","playtime-tracker","Tracks playtime and AFK time of players with a built-in reward system","1920","0.00","2018-08-03 02:34:12","https://umod.org/plugins/playtime-tracker","https://umod.org/plugins/playtime-tracker.json","https://umod.org/plugins/PlaytimeTracker.cs","@{value=1; message=; text=Published; icon=check; class=success}","1.9K","System.Object[]","0.1.7","v0.1.7","2018-08-03 02:34:44","2018-08-03T02:34:44+00:00","k1lly0u","https://assets.umod.org/images/icons/user/5b39dd7690b34.png","72PK2jKL94","universal,tracking,rewards","2018-08-03T02:34:12Z","2019-02-12T18:06:38Z","94","94",""
"PortForward","1",,,,"Port Forward","port-forward","Automatic port forwarding for DD-WRT routers","311","0.00","2018-07-25 02:35:17","https://umod.org/plugins/port-forward","https://umod.org/plugins/port-forward.json","https://umod.org/plugins/PortForward.cs","@{value=1; message=; text=Published; icon=check; class=success}","311","System.Object[]","0.0.1","v0.0.1","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,administration,management,network","2018-07-25T02:35:17Z","2019-02-12T03:18:05Z","0","0",""
"PrivateMessages","1",,,"https://assets.umod.org/images/icons/plugin/5b66ed6b7e606.jpg","Private Messages","private-messages","This plugin allows you to send private messages to players.","1278","0.00","2018-08-05 12:28:27","https://umod.org/plugins/private-messages","https://umod.org/plugins/private-messages.json","https://umod.org/plugins/PrivateMessages.cs","@{value=1; message=; text=Published; icon=check; class=success}","1.3K","System.Object[]","0.4.0","v0.4.0","2018-08-05 12:28:56","2018-08-05T12:28:56+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,imported","2018-08-05T12:28:27Z","2019-02-12T15:06:10Z","50","50",""
"Promocodes","1",,,,"Promocodes","promocodes","Create promotion codes which run commands when redeemed by players","400","0.00","2018-07-25 02:35:18","https://umod.org/plugins/promocodes","https://umod.org/plugins/promocodes.json","https://umod.org/plugins/Promocodes.cs","@{value=1; message=; text=Published; icon=check; class=success}","400","System.Object[]","3.0.0","v3.0.0","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","LaserHydra","https://assets.umod.org/images/icons/user/5b5bc6885b278.png","0D25jdKzjG","universal,promotions","2018-07-25T02:35:18Z","2019-02-12T03:18:15Z","8","8",""
"PushAPI","1",,,"https://assets.umod.org/images/icons/plugin/5b63962192590.jpg","Push API","push-api","API for sending messages via various mobile notification services","359","0.00","2018-08-02 23:39:13","https://umod.org/plugins/push-api","https://umod.org/plugins/push-api.json","https://umod.org/plugins/PushAPI.cs","@{value=1; message=; text=Published; icon=check; class=success}","359","System.Object[]","1.0.1","v1.0.1","2018-08-02 23:39:45","2018-08-02T23:39:45+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,api,notifications","2018-08-02T23:39:13Z","2019-02-12T13:36:15Z","3","3",""
"Rename","1",,,"https://assets.umod.org/images/icons/plugin/5b6396e2ecedf.jpg","Rename","rename","Allows players with permission to instantly rename other players or self","670","0.00","2018-08-02 23:42:26","https://umod.org/plugins/rename","https://umod.org/plugins/rename.json","https://umod.org/plugins/Rename.cs","@{value=1; message=; text=Published; icon=check; class=success}","670","System.Object[]","0.3.0","v0.3.0","2018-08-02 23:42:54","2018-08-02T23:42:54+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,moderation,names","2018-08-02T23:42:26Z","2019-02-12T13:38:53Z","20","20",""
